GRIN_Accession,mean_observation_value
PI594578,16.3
PI567310B,16.0
PI603617,13.8
PI594696B,13.8
PI603678B,13.8
PI603718A,13.8
PI603527A,13.8
PI86109,15.7
PI205907,13.9
PI205912,13.9
PI208430,13.9
PI291278,14.8
PI310441,13.9
PI323564,13.9
PI374154,13.9
PI374166,13.9
PI374173,13.9
PI374179,13.9
PI398612,11.2
PI417139,13.9
PI438427,13.9
PI506488,13.9
PI507023,13.9
PI291309D,13.9
PI291309C,13.9
PI407839-2,13.9
PI578318D,14.5
PI567088B,13.9
PI567092A,13.9
PI594017,14.2
PI594585,16.25
PI603633,13.9
PI603656,13.9
PI605763,15.95
PI605888,13.9
PI605895,15.05
PI594233B,15.350000000000001
PI594480C,14.05
PI594505B,15.0
PI594510A,13.9
PI594660A,13.9
PI594685A,16.25
PI594821B,13.9
PI603443A,14.25
PI605786D,15.75
PI175179,14.0
PI205915,14.0
PI291275,14.0
PI291276,15.8
PI323557,14.0
PI323570,14.0
PI374174,14.0
PI374177,14.0
PI374182,14.0
PI374183,14.0
PI398677,15.45
PI407963,15.1
